USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
722155,3040,MONUMENT HILL AWOS-3 ARPT,US,CO,KMNH,39.217,-104.633,2151.9,20060101,20231024
722156,53873,CARTERSVILLE AIRPORT,US,GA,KVPC,34.116,-84.851,230,20060101,20231024
722157,4949,MACOMB MUNICIPAL AIRPORT,US,IL,KMQB,40.52,-90.652,215.5,20060101,20231024
722158,13752,U.S. NAVAL ACADEMY,US,MD,KNAK,38.991,-76.489,1.8,20050224,20231023
722159,12980,MID VALLEY AIRPORT,US,TX,KT65,26.178,-97.973,21.3,20060101,20231023
722160,13869,SW GEORGIA REGIONAL ARPT,US,GA,KABY,31.536,-84.196,58.2,19730101,20231024
722162,26554,MERRILL PASS WEST,US,AK,PAER,61.267,-153.8,356.6,20060101,20140616
722164,53949,OKMULGEE MUNICIPAL AIRPORT,US,OK,KOKM,35.668,-95.949,219.5,20060101,20231025
722165,13815,OLIVE BRANCH,US,MS,KOLV,34.983,-89.783,123,19411013,19740415
722165,63808,OLIVE BRANCH AIRPORT,US,MS,KOLV,34.979,-89.787,122.5,20050101,20231024
722166,93845,VALDOSTA REGIONAL AIRPORT,US,GA,KVLD,30.776,-83.274,58.7,19480101,20231024
722167,3718,ORANGE COUNTY AIRPORT,US,VA,KOMH,38.247,-78.046,143,20060101,20231024
722168,4960,OLIVIA REGIONAL AIRPORT,US,MN,KOVL,44.779,-95.033,328,20060101,20231024
722169,3058,PECOS MUNICIPAL AIRPORT,US,TX,KPEQ,31.383,-103.511,796.4,20060101,20231025
722170,3813,MIDDLE GEORGIA REGIONAL AIRPORT,US,GA,KMCN,32.689,-83.653,104.5,19411020,20231024
722171,4889,PONTIAC MUNICIPAL AIRPORT,US,IL,KPNT,40.924,-88.624,200.9,20060101,20231024
722172,63810,EDGAR COUNTY AIRPORT,US,IL,KPRG,39.7,-87.669,199.3,20060101,20230726
722173,53951,PAULS VALLEY MUNI AIRPORT,US,OK,KPVJ,34.711,-97.223,295.1,20060101,20231025
722174,23097,HALE COUNTY AIRPORT,US,TX,KPVW,34.167,-101.717,1028.4,20060101,20231025
722175,13860,ROBINS AFB AIRPORT,US,GA,KWRB,32.633,-83.6,89.6,19420807,20231024
722176,53884,NEWNAN COWETA COUNTY ARPT,US,GA,KCCO,33.312,-84.77,295.7,20060101,20231024
722177,63811,ANDREWS-MURPHY AIRPORT,US,NC,KRHP,35.195,-83.865,516.9,20060101,20231025
722178,53953,ROBERT S KERR AIRPORT,US,OK,KRKR,35.021,-94.621,137.5,20060101,20231024
722179,4968,NEW RICHMOND MUNICIPAL APT,US,WI,KRNH,45.15,-92.533,303.6,20060101,20231024
722180,3820,AUGUSTA REGIONAL AT BUSH FIELD AP,US,GA,KAGS,33.365,-81.964,40.9,19480101,20231025
722181,13837,DANIEL FIELD AIRPORT,US,GA,KDNL,33.467,-82.038,125.1,20060101,20231024
722182,4890,ROCHELLE MUNI ARPT-KORITZ FIELD AIRPORT,US,IL,KRPJ,41.893,-89.078,238.1,20060101,20231024
722183,4972,BURNETT COUNTY AIRPORT,US,WI,KRZN,45.823,-92.373,301.5,20060101,20231024
722185,53838,LEE GILMER MEMORIAL ARPT,US,GA,KGVL,34.272,-83.83,386.4,20060101,20231024
722186,4892,BEAVER ISLAND AIRPORT,US,MI,KSJX,45.689,-85.566,203,20060101,20231024
722187,93911,SHAWNEE MUNICIPAL AIRPORT,US,OK,KSNL,35.357,-96.943,327.1,20060101,20231025
722188,53985,SEARCY MUNICIPAL AIRPORT,US,AR,KSRC,35.212,-91.737,80.5,20060101,20231024
722189,92815,WITHAM FIELD AIRPORT,US,FL,KSUA,27.182,-80.221,5.5,20060101,20231024
722190,13874,HARTSFIELD-JACKSON ATLANTA INTL AP,US,GA,KATL,33.63,-84.442,308.3,19730101,20231024
722191,3721,BRUNSWICK COUNTY AIRPORT,US,NC,KSUT,33.929,-78.075,7.6,20050101,20231024
722192,23033,AVENGER FIELD AIRPORT,US,TX,KSWW,32.473,-100.466,725.4,20060101,20231024
722193,3722,PERSON COUNTY AIRPORT,US,NC,KTDF,36.285,-78.984,185.6,20060101,20231024
722194,4896,RANTOUL NATL AVN CNTR-F ELLIOTT FIELD AIRPORT,US,IL,KTIP,40.293,-88.142,224.6,20060101,20231024
722195,3888,FULTON CO-BROWN FLD ARPT,US,GA,KFTY,33.778,-84.525,245,20060101,20231024
722196,53863,DEKALB-PEACHTREE AIRPORT,US,GA,KPDK,33.878,-84.298,298.4,20060101,20231024
722197,53819,PCHTRE CTY-FALCON FLD ARPT,US,GA,KFFC,33.354,-84.569,241.2,20060101,20231024
722198,63819,BOONE,US,NC,KTNB,36.2,-81.65,910.4,20020902,20231024
722199,53956,TAHLEQUAH MUNICIPAL ARPT,US,OK,KTQH,35.929,-95.004,266.1,20060101,20231025
722200,12832,APALACHICOLA MUNI AIRPORT,US,FL,KAAF,29.727,-85.025,5.5,19450101,20231024
722201,3723,SANFORD-LEE COUNTY RGNL ARPT,US,NC,KTTA,35.582,-79.101,75.3,20060101,20231025
722202,12985,GARNER FIELD AIRPORT,US,TX,KUVA,29.211,-99.744,287.1,20060101,20231024
722203,3041,MONARCH PASS AWOS-3 ARPT,US,CO,KMYP,38.483,-106.317,3667.1,20060101,20230929
722204,4996,TRI-TOWNSHIP AIRPORT,US,IL,KSFY,42.046,-90.108,187.8,20060101,20231024
722208,4224,ORCAS ISLAND AIRPORT,US,WA,KORS,48.708,-122.911,9.5,20060101,20231025
722209,12986,CALHOUN COUNTY AIRPORT,US,TX,KPKV,28.654,-96.681,9.1,20060101,20231024
722210,13858,EGLIN AFB AIRPORT,US,FL,KVPS,30.483,-86.517,26.5,19380910,20231024
722211,94087,THOMAS COUNTY AIRPORT,US,NE,KTIF,41.964,-100.569,888.2,20060101,20231024
